단어,점수
나쁘다,-2.0
나쁜,-2.0
나쁜놈,-2.0
나쁠,-2.0
나아가게,1.0
나아지게,1.0
나아지다,2.0
나태하게,-1.0
나태하다,-2.0
나태한,-2.0
낙담,-2.0
낙담하다,-2.0
낙망,-2.0
낙망하다,-2.0
낙심,-2.0
낙심되다,-2.0
낙심하다,-2.0
난리나다,1.0
난잡스러운,-2.0
난잡하다,-2.0
난잡한,-2.0
난처하거나,-2.0
난처하고,-2.0
난폭하거나,-2.0
난폭하다,-1.0
난폭한,-1.0
난하다,-2.0
날뛰다,1.0
날뜀,1.0
날씬하다,1.0
날씬한,1.0
날조하여,-1.0
낡고,-1.0
낡다,-1.0
낡아,-1.0
낡아지다,-1.0
낡은,-1.0
남달리,1.0
남루하게,-1.0
남몰래,-1.0
남부끄러이,-1.0
남부끄럽다,-1.0
남부럽다,-1.0
남사스럽다,-1.0
남용,-1.0
남용하다,-2.0
납치,-2.0
낫다,1.0
낭만,1.0
낭만적인,1.0
낭비,-1.0
낭비된,-2.0
낭비하다,-1.0
낭패,-2.0
낮아지거나,-1.0
낮잡는,-2.0
낮잡아,-2.0
낮추어,-2.0
낯부끄럽다,-1.0
낯설다,-1.0
내리눌리다,-1.0
내버려지다,-2.0
내버리거나,-2.0
내소외친하다,-1.0
내송,-1.0
내송하다,-1.0
내숭스럽고,-1.0
내쫓기다,-2.0
내쫓는,-2.0
내쫓다,-2.0
내쫓아,-2.0
냉담하다,-1.0
냉담한,-2.0
냉랭하거나,-2.0
냉랭하고,-2.0
냉랭하며,-2.0
너그러운,2.0
너그러워,2.0
너그러이,2.0
너그럽게,2.0
너그럽고,2.0
너그럽다,2.0
너무하다,-2.0
너불거리며,-1.0
너저분하게,-1.0
너저분하다,-1.0
너저분하여,-1.0
너저분한,-1.0
너저분해,-1.0
너절하게,-2.0
너절하다,-2.0
너절한,-2.0
너프,-1.0
넉넉하거나,2.0
넉넉하게,1.0
넉넉하고,1.0
넉넉하다,1.0
넉넉하여,1.0
넉넉한,1.0
넌더리가,-2.0
넌덕스러운,1.0
넌씨눈,-2.0
넘사,1.0
넘사벽,1.0
넘어지거나,-1.0
넘어지며,-1.0
넘어질,-1.0
노답,-2.0
노략질하는,-2.0
노략질함을,-2.0
노려보다,-1.0
노력이나,1.0
노력하는,1.0
노력하다,1.0
노련하고,1.0
노름,-1.0
노름꾼이,-1.0
노숙자,-1.0
노여운,-2.0
노여움,-2.0
노여움을,-2.0
노엽거나,-2.0
노예,-2.0
노인정,-1.0
노잼,-1.0
노하여,-2.0
노한다,-2.0
노함,-2.0
노후되다,-1.0
논리적,1.0
논리적인,2.0
놀다,1.0
놀라거나,-1.0
놀라고,-1.0
놀랍다,1.0
놀려,-1.0
놀리거나,-1.0
놀리는,-1.0
놀리다,-1.0
놀릴,-1.0
놀림,-1.0
놀림과,-1.0
놀림받다,-1.0
놀림을,-1.0
놀림조,-2.0
놀림조로,-2.0
놀아나는,-1.0
농락하여,-2.0
농지거리를,-2.0
높거나,1.0
높고,1.0
높다,1.0
높은,1.0
높이다,1.0
놓쳐,-1.0
놓치다,-1.0
뇌물을,-1.0
뇌물의,-1.0
뇌종양,-2.0
뇌진탕,-2.0
뇌출혈,-2.0
뇌타박상,-2.0
눈곱이나,-1.0
눈꼴사납게,-2.0
눈꼴사납고,-2.0
눈꼴사납다,-2.0
눈뜬장님,-1.0
눈물,-1.0
눈물겹다,-2.0
눈물이,-1.0
눈새,-1.0
눈치를,-1.0
뉘우치고,1.0
뉘우치다,0.0
뉘우침,0.0
느개비,-2.0
느글거리는,-2.0
느글거리다,-2.0
느글대다,-2.0
느금마,-2.0
느끼하다,-2.0
느끼해지다,-2.0
느리다,-1.0
느릿느릿,-1.0
느물거려,-1.0
느물거리는,-1.0
느즈러져,-1.0
늘씬한,1.0
늘어나다,-1.0
늙거나,-1.0
늙어서,-1.0
능글능글하다,-1.0
능글능글한,1.0
능글맞고,-1.0
능란하게,2.0
능력,1.0
능수능간,2.0
능수능란,2.0
능숙하게,2.0
능청맞고,-1.0
능청스러운,-1.0
능청스럽게,0.0
능청스럽고,-1.0
능청을,-1.0
능통한,2.0
능하고,2.0
능하다,2.0
능히,2.0
늦다,-1.0
늦어지는,-1.0
늦어지다,-1.0
다그치다,-1.0
다급하게,-1.0
다급하여,-1.0
다독거리다,1.0
다독다독,1.0
다독다독하다,1.0
다랍게,-1.0
다양하다,1.0
다정하고,2.0
다정하다,2.0
다채롭다,1.0
다치거나,-1.0
다치다,-1.0
다친다는,-1.0
다침,-2.0
다투거나,-2.0
다투는,-2.0
다투다,-2.0
다툼을,-2.0
다행스럽다,1.0
닥쳐오다,-1.0
닦달하거나,-2.0
단념할,-1.0
단단하게,1.0
단단하고,1.0
단련되고,1.0
단련되다,1.0
단아하게,2.0
단작스럽게,-1.0
단정하게,2.0
단정하다,2.0
단출하게,2.0
달거나,1.0
달달하다,1.0
달뜬,1.0
달뜸,1.0
달래다,1.0
달성감,1.0
달성하다,1.0
달성한,1.0
달아남,-1.0
달콤하고,1.0
달콤하다,1.0
달콤한,1.0
닳아,-1.0
답답하거나,-1.0
답답하게,-1.0
답답하고,-1.0
답답하다,-1.0
답답하며,-1.0
답답하여,-1.0
답답하여진다,-1.0
답답한,-1.0
답답할,-1.0
답답함,-1.0
답답해진다,-1.0
당당하게,1.0
당당하고,1.0
당당하다,1.0
당찮다,-1.0
당하다,-1.0
당하였던,-1.0
당황하다,-1.0
당황하여,-1.0
당황한,-2.0
당황해하는,-1.0
당황해하다,-1.0
대가,1.0
대강대강,-1.0
대견하고,1.0
대꾸하는,-1.0
대단하거나,2.0
대단하고,2.0
대단하다,2.0
대단한,2.0
대담하고,1.0
대들다,-2.0
대립으로,-1.0
대립하는,-1.0
대상,1.0
대접,1.0
대접하기,1.0
대접하는,1.0
대접함,1.0
대중없이,-1.0
대충대충,-1.0
대충하다,-1.0
더들다,0.0
더듬는,0.0
더디거나,-1.0
더디다,-1.0
더딘,-1.0
더러운,-2.0
더러움,-2.0
더러워,-2.0
더러워져서,-2.0
더러워지거나,-2.0
더러워지다,-2.0
더러워진,-2.0
더럽게,-2.0
더럽고,-2.0
더럽다,-2.0
더럽혀서,-2.0
더럽혀진,-2.0
더럽히는,-2.0
더럽히다,-2.0
더부룩이,-2.0
더부룩하고,-2.0
더부룩하다,-2.0
더부룩하면서,-1.0
더부룩하여,-1.0
더없이,1.0
더하다,1.0
덕을,2.0
덕이라는,2.0
덕행을,2.0
덕행이,2.0
덜렁거리며,-1.0
덤벼들어,-2.0
덤비거나,-2.0
덤비다,-2.0
덥거나,-1.0
덥다,-1.0
덧나다,-1.0
데면데면하게,-1.0
데면데면하다,-1.0
데면데면함,-1.0
도덕적,2.0
도도하게,0.0
도둑,-1.0
도둑질하다,-2.0
도둑질한,-2.0
도리,1.0
도망하는,-1.0
도살되다,-1.0
도살하다,-1.0
도와주다,1.0
도외시하다,-1.0
도움,1.0
도적질,-1.0
독감,-1.0
독보적,1.0
독사,-2.0
독살스러운,-2.0
독이,-2.0
독차지함,-2.0
독창적,2.0
독창적인,2.0
독특하다,1.0
독하거나,-2.0
독한,-2.0
돋는다,1.0
돋보이다,1.0
돋우다,1.0
돌겠네,-2.0
돌머리,-1.0
돕다,2.0
동경하고,2.0
동기부여하다,1.0
동통,-1.0
되거나,-1.0
되바라지게,-2.0
되지못한,-2.0
되찾는,1.0
