닉네임,날짜,내용
니니니니니니냐,2025-01-06T14:33:10+09:00,"아오 개미들 본전왔다고 또 다팔아버리네
하이닉스는 날라가는데"
빠삐뿌페뽀,2025-01-06T14:32:39+09:00,"내 첫주식 삼성전자! 힘내라!!
하지만 아직도 내평단아님 😭ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
폴리73,2025-01-06T14:31:57+09:00,"삼전은 2나노 수율이 좋아져야 오른다...
이런 단기성으로는 힘을 못씁니다."
꿜꿜꾸러,2025-01-06T14:31:21+09:00,"96800원인 사람 있음??
순수궁금증"
yasking,2025-01-06T14:31:18+09:00,삼전이제는 모을때다
올라가보쟈규,2025-01-06T14:29:45+09:00,이러고 내일 또 떨어지는건 아닐까요?
정신상태가좋아졌어요,2025-01-06T14:29:41+09:00,3개월 존버중인데 삼전경험하고 앞으로 국장은 안 건들이기로 했습니다
갓써니1,2025-01-06T14:29:17+09:00,언능 타세욧!
Youngest,2025-01-06T14:29:04+09:00,안사 이자를 너무 많이 준다
YouTube스타경로당,2025-01-06T14:27:45+09:00,오예
광산탁,2025-01-06T14:27:29+09:00,다들 얼른 하차해라 또 못내리고 물리지말고
삼성가즈아아,2025-01-06T14:27:20+09:00,단타성공
고민시귀요미,2025-01-06T14:26:55+09:00,쭉오르네 급등주구만 ㅋ
줄먹빤,2025-01-06T14:26:53+09:00,"400주 남음
물탄금액 회수"
주식하는야콩,2025-01-06T14:26:50+09:00,이제 다신 삼성 안 삼...
비밀창고,2025-01-06T14:25:47+09:00,난 누가 말한 어떤할머니처럼 삼전 계속 모아볼까
나만벌자,2025-01-06T14:22:49+09:00,"하이닉스처럼 좀 가자!!!!
7만, 8만 언제갈래?"
줄먹빤,2025-01-06T14:22:08+09:00,500주 남음
보름낮달,2025-01-06T14:21:44+09:00,"아니 평소에 얼마나 안올랐으면 커뮤 화들짝 놀라는거 개웃기네ㅜㅋㅋㅋㅋ
(주린이라 잘모름)"
호신호,2025-01-06T14:21:12+09:00,멧돼지 멱따는날 폭등하겠다
개잡주는사형,2025-01-06T14:20:36+09:00,신기하네 신기해
죽죽죽올라라,2025-01-06T14:20:18+09:00,4만기다리고있다.
갓써니1,2025-01-06T14:20:11+09:00,6만원 가즈앙~
주린이정현,2025-01-06T14:19:32+09:00,락걸렸니 올라좀가라
먹어보자투자맨,2025-01-06T14:18:53+09:00,외인들이 움직였데요 사댄다네요
비밀창고,2025-01-06T14:17:28+09:00,이게 폭등이면 7만후반대는 언제오나?
먹어보자투자맨,2025-01-06T14:15:16+09:00,무슨일인가요 이정돈폭등인데
1000주목표,2025-01-06T14:13:04+09:00,난 일단 빠짐 보고 추매
보니아빠,2025-01-06T14:12:13+09:00,.
진고물수집가,2025-01-06T14:11:24+09:00,"삼전 보고 계신 분들은 다들 58900원 넘냐 안넘냐 보고계시지 않나요? 당장에 예측은 무의미하다고 봅니다. 잠적 실적 나오고 반영이 되냐 안되냐는 또 그들 마음에 달려있겠죠.
미장으로 다 넘어가있고 돌아와서도 하이닉스에 다들 꽂혀있는 상황에 푼돈이라도 벌릴까싶어 들어왔습니다."
주식첨이에요,2025-01-06T14:09:54+09:00,국장 복귀는 지능순
주식왕초짜임,2025-01-06T14:09:49+09:00,단번에57000선은 안넘을것 같아서 요것만 먹고 빠져요
헉밖에,2025-01-06T14:04:47+09:00,올라가자
그깟닉네임,2025-01-06T14:04:25+09:00,외인은 다시 매도세고 기관발 상승이라 불안하네
장리선생,2025-01-06T14:02:41+09:00,56뚫어라잇
와카야마라멘,2025-01-06T14:01:30+09:00,6만원 7만원대에 물량 엄청 쌓여있을거라 여기서 hbm 같은거 큰거 한번 터뜨려주면 참 좋을텐데
Nadiia,2025-01-06T14:00:31+09:00,개미들아 유일한 탈출기회다 ㅋㅋ
끝까지아주,2025-01-06T14:00:18+09:00,??
Lam22,2025-01-06T14:00:05+09:00,팔았다
수줍이,2025-01-06T13:58:02+09:00,외국인 이틀연속 매수 두 달만임...
국장은싫어,2025-01-06T13:53:41+09:00,오늘 60일선 꽉 잡고 놓치마. 내일 한번에 뚫자. 그럼 물타마.
Gentle0,2025-01-06T13:52:51+09:00,하닉처럼 올라가는거 보고싶다..
쥬혀꾸,2025-01-06T13:50:53+09:00,몇시간째 이러고 있는겨
백구대장,2025-01-06T13:50:14+09:00,-1%
Musicstory,2025-01-06T13:48:54+09:00,"기관 많이 매수 ,외국인 조금매수
삼전 오르니
오늘 개인들 많이 매도 하겠네요"
럭키반지,2025-01-06T13:45:01+09:00,"미장에서 달러벌고 들어왔는데
내 애국심 무시하지말구
올라줘라 8만 가줘"
초코맛마라샹궈,2025-01-06T13:42:45+09:00,더오를거임
오반아휘파람을불어라,2025-01-06T13:42:07+09:00,싱싱전자 드가자~~
내가사면떨어진다도망가라,2025-01-06T13:40:51+09:00,지금 많이 올랐자나???
삼전가자1,2025-01-06T13:40:50+09:00,"하닉 외국인매수1000천억
삼전외국인매수 40억
종가후에 삼전 외국인 매도일확률높음"
한국주식TV,2025-01-06T13:40:46+09:00,아 지금 전세계적으로 반도체가 이렇게 대 호황인데 삼전만 까꾸로가네... 이거 큰실수네..
쥴리바라기,2025-01-06T13:40:32+09:00,복학후 후달릴 내 지갑을 지켜줘!!
럭키반지,2025-01-06T13:40:00+09:00,영차영차
가격파괴,2025-01-06T13:39:08+09:00,비상하라! 삼전! 비상하라! 재용!
이지베이션,2025-01-06T13:38:12+09:00,저점 잘잡았네
7꺼어억,2025-01-06T13:35:18+09:00,아직 7만까지 한참이네.. 힘내라
천가즈아,2025-01-06T13:34:54+09:00,지금들어가면 안되겠죠?
비밀창고,2025-01-06T13:33:37+09:00,7만은 가야하는데 아직 멀었네
주식하는진박새,2025-01-06T13:33:20+09:00,내가 삼전에서 단타를 할 줄이야
조유찬,2025-01-06T13:31:10+09:00,삼성전자
건태율,2025-01-06T13:31:09+09:00,내려가면 다시들어올게요
호두찌잉,2025-01-06T13:29:32+09:00,팔아야되나요 어찌까요
P드래곤,2025-01-06T13:29:32+09:00,"엔터주에 묶여서 입맞만 다시네
간만에 조금오르는것 보니
괜히 기부니가 좋아짐"
오바금지,2025-01-06T13:28:12+09:00,탄핵당 명분이 사라지니 삼성 주가가 슬금슬금 오르네 경제는 보수가 잘한다
진고물수집가,2025-01-06T13:27:45+09:00,40000원대까지 떨어진게 외부요인이 큰몫을 한 상황이라 어닝쇼크만 안터진다면 일단 크게 회복하지 않을까요?
평생똥손,2025-01-06T13:25:56+09:00,자사주 매입한다고 해서 들어갔다가 남은돈 물렸는데 언제 탈줄가능하죠
러블리소울,2025-01-06T13:25:28+09:00,리스크 관리차 본전띄기
배고픈돼지1,2025-01-06T13:23:49+09:00,갈 길이 너무 멀다
버거맛나요,2025-01-06T13:21:47+09:00,"손절하면서 제가 손절했으니 이제 오를 일만
남았으니 국내 1위 기업 건승하시라
응원했는데 역시나 네요

축하드립니다

제가 항상 간발의 차더라고요

저도 4년 장투 정리하고 해외주식으로

소소한 즐거움 누리고 있답니다

삼성주주분들 화이팅!!!

국장은 인간지표인 제가 앉아도 좋은
때 다시 올게요"
죽죽죽올라라,2025-01-06T13:21:27+09:00,하이닉스보다 못달리네
파파야짱,2025-01-06T13:17:55+09:00,"물리신분들 기다리세용 구조대 갑니당~
#삼성전자"
춘자멍멍,2025-01-06T13:14:30+09:00,"종가예상
하이닉스 8퍼
샘숭 0.9퍼"
응니말맞아,2025-01-06T13:12:27+09:00,한달만에왔는데 아직도 요깃네 ㅜ 두달뒤에뵐게요 복 많이받으세여
독불아,2025-01-06T13:11:54+09:00,앞으로 쮹 올라가겠네요
승리중,2025-01-06T13:11:39+09:00,"이틀후 잠정실적 발표있는데 기관들 가이던스가 줄줄이 하향치 내놓아서 비슷하게 나오거나 생각보다 어닝이 나오면 4,5프로는 더 갈수 있습니다 6만원 돌파 테스트할듯

자사주 3조 소각 매집비용은 소진하고 남은게 대략 7-8천억정도 되는거 같구요 나머지 7조 자사주 매입은 2월 이후로 따로 공시한다고 하니까 기다려봐도 괜찮을듯 합니다 이미 악재는 다 반영됐고 횡보하든 상승하든 둘중 하나일거 같네요

수익권이신분들은 조금씩 분할로 파셔도 될거같고 손실구간이신 분들은 명절후 2월 중반까진 기다리는게 좋아보입니다"
오로라스야리스카이민,2025-01-06T13:09:48+09:00,하긴떨어질때도 이유가없었나
내꺼빼고다오르네,2025-01-06T13:09:19+09:00,"난 진짜 어이가 없는게 윤석열대통령 지지율 40% 그 기사를 믿는사람이 있다는거 ㅋㅋ 조금만 생각해봐도 말이안되는거 알텐데 알면서 그러는건가 윤지지자들?ㅋㅋㅋ
이재명 지지자나 윤석열 지지자나 다 똑같다
범죄자 vs 내란수괴범"
3대대박코인주식복권,2025-01-06T13:08:55+09:00,"급하게 가지말고
하루2퍼씩만 오르자~!ㅎㅎ
7만 돌파 올해안으로만 하자~~ ㅎㅎ"
춘자멍멍,2025-01-06T13:05:10+09:00,"하이닉스 30만가면
샘숭은 59900원 정도갈듯
오너가 떡볶이나 쳐먹으러다니는데
오를리가있나"
10만달러프로젝트,2025-01-06T13:05:10+09:00,삼전 매도벽 개높네
아까왓다,2025-01-06T13:04:20+09:00,6만원 언제와
고지수,2025-01-06T13:02:30+09:00,"56층 후반입니다.
탈출이 얼마 안남아서 행복합니다."
초벅초벅,2025-01-06T13:00:45+09:00,"헤헤 수익권이긴한데
언제 청산할지가 고민되네 이젠
더 보긴할건데
이러다 또 나락가면 가슴아픈데"
올라가자아어,2025-01-06T13:00:23+09:00,닉스 가는데 너도 가야지이
유유송,2025-01-06T12:53:52+09:00,57인데 조금만 더 힘내줄순 없겠니??
3대5백,2025-01-06T12:52:46+09:00,5.6
동버핏임,2025-01-06T12:51:13+09:00,오늘 치킨먹을수잇담!!!!
Aksjd,2025-01-06T12:50:51+09:00,삼전이 가줘야 코스피가 간다....
툐툐밥,2025-01-06T12:50:23+09:00,담아봅니다
zI존법사,2025-01-06T12:50:00+09:00,8만전자 존버한다 드가자
타이거D,2025-01-06T12:49:05+09:00,본전만 제발 ㅠ
Nbnbm,2025-01-06T12:47:55+09:00,구조대 오나요?
도시천사,2025-01-06T12:45:50+09:00,"1월 8일 2024년 4분기 실적 발표 있습니다.
이미 실적 떨어졌다고 예상들하고 선 반영 되어 있겠지만 예상치와 다를 수 있으니 체크해두세요~"
나는신신,2025-01-06T12:43:14+09:00,머리들고 쭉쭉 올라가자
종목탈옥수,2025-01-06T12:42:42+09:00,멋지다
올라가자아어,2025-01-06T12:41:48+09:00,오진다
금융업직원,2025-01-06T12:40:06+09:00,아까부터 계속 59 60만 왔다갔다 하네
동욱김,2025-01-06T12:40:00+09:00,지금 사도되나요??
개미와브루주아,2025-01-06T12:39:26+09:00,얼마 안되지만 기분 좋아요
지여니닝,2025-01-06T12:39:16+09:00,잉..
스머퍼,2025-01-06T12:37:53+09:00,달리나요
도시천사,2025-01-06T12:33:54+09:00,"금일 상승은 CES 기대감이 크다고 봅니다.
5만 8천선 돌파하면 6만 전자도 가능해 보입니다.

관련이 아예 없을수는 없지만...
제발 주식 커뮤니티에서 정치 이야기는 하지 맙시다."
이금희,2025-01-06T12:31:37+09:00,가즈앙앙앙
초롱이초숏이,2025-01-06T12:31:19+09:00,"말 그대로 찌라시입니다
출처가 불분명하니 해외 개미들의 바램, 상상 정도로만 치부해주세요
#삼성전자"
llllllllllliiii,2025-01-06T12:30:56+09:00,외인이.들어온다. 시작인가!!!!
웅이오빠,2025-01-06T12:30:20+09:00,지금도 중국에게 기업기밀 국방기밀 다 털려서 나라가 망국 직전인데 대놓고 기업기밀 다 공개하라는 민주당은 도저히 이해가 안됩니다..
하늘뚫,2025-01-06T12:19:29+09:00,빨간불 가는거니ㅠㅠㅠㅠㅠ
근엄파파덕,2025-01-06T12:18:38+09:00,용돈벌이 완료
내목표성공부자,2025-01-06T12:17:04+09:00,"53.8층입미다
71때 익절했다가 계엄 때 줍줍
국내주식 다 떨어져도 3⭐️⭐️⭐️ 믿고잇어여‘!!
가격 떨어질수록 제가 다 줍겟습니다.
비스포크 냉장고 최고."
한강K,2025-01-06T12:17:03+09:00,"요즘 미국주식에서는 양자컴퓨터관련주들이 굉장히 뜨겁습니다. 저도 의미있게 수익내는 중 입니다.

그런데 의외로 삼성전자 역시 양자컴퓨터와 무관하지 않습니다.
내부적으로는 관련기술연구를 진행중이며
외부투자역시 진행하고 있습니다.

삼성전자 종합기술원과 삼성SDS 연구소 내에 양자컴퓨터 개발팀을 구성하여, 양자 알고리즘, 큐비트 설계 및 제조, 큐비트 제어 기술 등 기본 기술 확보를 목표로 연구를 진행하고 있습니다.

또한 2019년 10월 미국 아이온큐에 5500만 달러를 투자한 바 있습니다.(평단 $1-$3 추정)
아이온큐가 2021년 나스닥 상장한 만큼 삼성전자는 아이온큐에게 굉장히 중요한 시드투자자입니다.
(현 시점 투자금 회수하였음)

삼성전자를 당장 양자컴퓨터관련주로 분류하기에는 무리가 있겠지만 대강 중요한 흐름은 짚고 있었다 보시면 되겠습니다."
앞으로나란히,2025-01-06T12:16:46+09:00,6만 힘차게 뚫어보자 화이팅!!
지용상생,2025-01-06T12:13:47+09:00,"이제 올라갈 일만 남았네~
자유대한민국 힘내자!!! ㅎ"
삼전35만원,2025-01-06T12:13:24+09:00,"매수도 안한 사람들이
내려갈땐 3만원가면 사야징 4만원가면 사야징
이러다가 올라가면 절때 안속는다고
6만원이 끝이라고 말하는데
그렇게 잘보시는 분들이면
이미 워렛버핏 양쪽 뺨싸다구 때리고
재산 전세계 100위 달성 했을듯ㅋㅋㅋ
말로는 나도 하루면 나라도 건국함ㅇㅇ"
뭐지망한듯,2025-01-06T12:13:18+09:00,잠시만 나갔다 들어오셈
IllIllIllllIIII,2025-01-06T12:10:05+09:00,탑승시작
경한유진행운,2025-01-06T12:09:21+09:00,일단 팔고 정찰주 5주만 사놔야겠당
내꿈은나,2025-01-06T12:09:01+09:00,차트 예쁘고 자리 좋아보임 조금만 사봄
찬욱이얌,2025-01-06T12:08:00+09:00,어거어엉
뭐지망한듯,2025-01-06T12:05:26+09:00,56 마감 예상. 낼 어떨게될지 궁금하네
웅이오빠,2025-01-06T12:04:20+09:00,"내릴 사람 내리고 탈 사람 탔다..
최고점 탈환을 향해 출발합시다.."
주린주린이의꿈,2025-01-06T12:03:39+09:00,올해 7만원 올까요??
삼남매맘78,2025-01-06T12:02:46+09:00,"아이구야 돈 모이면 100주정도 매수 생각했는데~~
기차 떠났네요
타신분들 많이 버세요"
즐거운인생살자,2025-01-06T12:02:30+09:00,왜? 무슨일있어요?
퀘스터,2025-01-06T12:02:02+09:00,국장 삼전으로 처음해봤는데 진짜 무서워쪄..
테슬람주주주주,2025-01-06T12:01:52+09:00,6만언제오니
즐거운마음,2025-01-06T12:01:03+09:00,전량 매도.땡큐.
등대남,2025-01-06T11:59:57+09:00,평단만 오면 팔고 다신 얼씬도 않할게여....
삼전35만원,2025-01-06T11:59:06+09:00,"삼전 가격 오르니까
4만전자니 이걸 왜사니
훈수충 사라지는 마법같은 현상ㅋㅋ"
평생똥손,2025-01-06T11:57:36+09:00,애는 5년전이나 지금이나 주가가 똑같냐....
십억가장,2025-01-06T11:57:30+09:00,오오 안샀지만 응원합니다
경제1황,2025-01-06T11:56:52+09:00,나라의 정상화
Zeroc,2025-01-06T11:56:20+09:00,6만가자.
나는신신,2025-01-06T11:54:02+09:00,호재나온다 그거이알고싶다 빨리들사세요
이재용가리화이팅,2025-01-06T11:53:52+09:00,"60일선 터치했다. 구름대만 뚫자
재발 씨용이형!!!! 가즈아"
럭키반지,2025-01-06T11:53:00+09:00,오늘 종가는 56000원이려나🥲
야옹아멍멍행,2025-01-06T11:48:04+09:00,일단 익절
한번만가자쫌,2025-01-06T11:46:38+09:00,유튜브에서는 축제분위기 10만원간다. 배당금 이만큼이나준다등등 ... 역시 유튜브 방구석전문가들은 믿을게못되 !!!!
치킨피자떡볶이,2025-01-06T11:44:32+09:00,정상화된 삼성 하이닉스 📈📈📈📈
워렌존버핏77,2025-01-06T11:44:14+09:00,"삼전 대형 호재 때문에 입성
개인 매도
외인 매수
기관 찌라시 매도 리포트"
영육축복,2025-01-06T11:44:11+09:00,애국
지니베오,2025-01-06T11:43:12+09:00,Ddff
잘되리라리,2025-01-06T11:41:37+09:00,털고 떠납니다... 두달 넘게 들고있으면서 정이 털리네여
잠잘수있을만큼만,2025-01-06T11:40:50+09:00,"제목 그대로 평단 55.5

팔고 싶은 마음도 들지만, 그래도
6만까지는 지켜볼 예정"
갈비본가진,2025-01-06T11:40:36+09:00,진짜 진짜 이번엔 나 실망 시키지마❤️
김치전감자전삼전,2025-01-06T11:40:19+09:00,"평단 5.3
250주"
곰돌이우,2025-01-06T11:40:03+09:00,자유민주주의를 위해 애국 매수 가즈아!
젭알고,2025-01-06T11:38:01+09:00,조금 오르면 다들 던지느라 바빠^^;; 삼전은 몇년동안 한결같구나. 그래도 난 목표 달성까지 들고간다. 그 날이 오기는 할까?
입쉥로랑,2025-01-06T11:37:51+09:00,이럼 나가린데
아앙깠꿍,2025-01-06T11:37:08+09:00,찐이네 내가팔면 오른다는말이ㅋㅋㅋㅋ
주말이싫어용,2025-01-06T11:36:10+09:00,아니 맨날 가격이 5만에 갇혀있는데 돈이 벌리긴함?
뉸누냔냥,2025-01-06T11:35:42+09:00,하 팔까말까
WG흑곰,2025-01-06T11:33:03+09:00,줄때 못먹는건 바보다.
따귀월드,2025-01-06T11:32:52+09:00,그때팔걸
옴걸짱,2025-01-06T11:32:51+09:00,왠일이니
크리스119,2025-01-06T11:29:31+09:00,삼전아 와카노
세화주주,2025-01-06T11:29:24+09:00,"56000원 지지구간에서
60일선 위로 돌파 가능성 있어요.
본인의 선택을 믿어 보시공
주가에 행운이 가득하길.
새해 복 많이 받으세요-♡♡"
꽃뜌니,2025-01-06T11:29:08+09:00,저62000언이평단인데 ㅜㅜ하차했다가 다시타야되나 롱해야되나ㅠ?아고 또떨어질것같은데ㅠㅠ
한국부동산원,2025-01-06T11:27:58+09:00,ㄱㅈㅇㅇㅇㅇㅇㅇ
국털수리,2025-01-06T11:27:58+09:00,. ?
그깟닉네임,2025-01-06T11:26:59+09:00,이번분기 실적 나쁠거 같은데 반영된거겠지
굼금해요,2025-01-06T11:26:39+09:00,1000주만 팔아봅니다
비니빈빈빈빈,2025-01-06T11:25:26+09:00,"드뎌..내평단..근처
56700...ㅠ...
미주로 수익은 있는데 평단이 높아 원금 회수할지 아니면 장투할지 고민이네요.."
뭐지망한듯,2025-01-06T11:25:15+09:00,드디어 원상복구. 절반반 판매하고 하이닉스로 넘어갑니다
곰돌이우,2025-01-06T11:24:20+09:00,"깨어납시다. 젊은이들이여 중년들이여 노인들이여!
매수!"
3jj,2025-01-06T11:24:18+09:00,아 더살걸 그랫나
아무거나규탄한다이것저것보장하,2025-01-06T11:24:11+09:00,"56,500 원 기준으로 잡고기준넘괴 3시20분에 버티면 홀딩 56,500 못가면 정리할게유"
수달녀니,2025-01-06T11:24:09+09:00,ㅋㅋ
햇병이라,2025-01-06T11:23:23+09:00,이미 코인으로 다 복구했다 하...그냥 원금만 올라가면 뺄게
맥똥날똥에선겨란후라이가5억원,2025-01-06T11:23:17+09:00,역시 삼전 대단하다 대장주는 다르네. 코스탁 다오름
럭키반지,2025-01-06T11:23:05+09:00,"곧 더 오를일만 남은거 같아서 4만원대
진입 아쉽지만
조금 넣어봅니다🙏"
엄마친구아들래미,2025-01-06T11:22:30+09:00,아 ..이러다 원금 복구되는거 아닌가 너무 설레자나...
사막여우핑,2025-01-06T11:22:12+09:00,아자아자
김다로,2025-01-06T11:21:42+09:00,오.. 미주에서 복구 다 했어~
식칼살인마,2025-01-06T11:20:51+09:00,"로 카카오랑 삼전이랑 적금 출시를 해주네.
거기에 윤핑핑 구속 까지만 터져주라..."
에스튤,2025-01-06T11:20:07+09:00,"윤통 빨리탄핵돼야 오를거란 분들 몇보이는데
단기적으론 몰라도 장기적으론 아니라봅니다
민주당에서 대놓고 국회증언법,금투세등으로 기업들 목조이고있는게 훨씬 영향이 큽니다"
날아라슈퍼보보드,2025-01-06T11:19:31+09:00,내가 미안해 ㅠㅠㅠ
설탕김치,2025-01-06T11:19:27+09:00,와 상한가 코앞이다 주주분들 그동안 고생 많았습니다
lIIllIIIllll,2025-01-06T11:17:56+09:00,좀만 더 힘내
쨉쨉잉,2025-01-06T11:16:23+09:00,"상방 아니면 하방이겠지만
상방일 가능성이 아주 높아보입니다.
5초에서 꾸준히 매집하셨던분들은 계속 들고 가시면 될거 같네요"
괜찮아물타면그만이야,2025-01-06T11:16:22+09:00,희망회로 돌려봅니다...6만돌파!
멜루렌,2025-01-06T11:14:37+09:00,"혹시나해서 걸어두고 잔게 생각보다 너무 빨리 팔렸네요ㅠ
좀 더 길게 보고 싶었는데 일단 다음 기회를 기대하겠습니다"
지뢰밭보물찾기,2025-01-06T11:14:22+09:00,?뭐여ㅠ
화성증꿘,2025-01-06T11:13:34+09:00,와 사만전자올때 풀매수 가려고 했는디…
나도헉,2025-01-06T11:13:03+09:00,"와우 한번에 만주!
누가?"
hahau,2025-01-06T11:10:19+09:00,가자가자 엔비디아간다
노태산0303,2025-01-06T11:09:58+09:00,감사
설탕김치,2025-01-06T11:09:15+09:00,탄핵무새 다 사라졌고 ㅋㅋ
가격파괴,2025-01-06T11:08:54+09:00,재용이형! 7만원 갈수있지??? 그렇지??
K철이,2025-01-06T11:07:05+09:00,역시 내가 팔면 오르는 마법🤣🤣🤣
천재혜,2025-01-06T11:04:51+09:00,"밥값 감사
낼모레 또 올게요"
주식첨이에요,2025-01-06T11:04:31+09:00,"60,000에 파킹하지 않겠습니까? 근거없는 추측이오."
호호녀녀,2025-01-06T11:02:52+09:00,내가 캤째? 바닥이라고
말둑박기,2025-01-06T11:02:01+09:00,종가 내리꽂는건 같을거라 생각하며…일단매도
빨강빨강상승,2025-01-06T11:01:27+09:00,이형 왠일이여~~
지뢰밭보물찾기,2025-01-06T11:00:46+09:00,애매하네ㅋㅋㅋㅋ
태연이꺼,2025-01-06T11:00:32+09:00,이거지 이거야 이제 얼마에 팔지 정하기만 하면 되는거야!!!!
와카야마라멘,2025-01-06T11:00:24+09:00,외국인은 거의 안들어왔는데 무슨일???
명금당,2025-01-06T11:00:13+09:00,와 진짜 가능합니까?
JP11,2025-01-06T10:59:22+09:00,"후우 드디어 빼는구나..
다시 좀 떨어지면 들어가야지"
나쵸코이모,2025-01-06T10:59:07+09:00,굿
보름낮달,2025-01-06T10:58:57+09:00,5만6천전자 ㄷㄷ
연도링,2025-01-06T10:58:31+09:00,오.. 왠열로+3.7%
alongs,2025-01-06T10:58:24+09:00,여러분들은 어떻게 하실겁니까.
서현진,2025-01-06T10:57:56+09:00,57층 뚫리면 6만 전자 금방인데 굿굿
플뤡스,2025-01-06T10:57:28+09:00,크피값달달하이쥑이네
야수의심장병,2025-01-06T10:57:20+09:00,"걸그룹이라 전 여기서 이만 하차하옵니다.

나중에 뵙겠습니다"
주식포포,2025-01-06T10:56:50+09:00,오오 뚫리면 올라가는데? 뭐지
돈물고오는까치,2025-01-06T10:56:37+09:00,다음~ 56100 차빼세요
주린이정현,2025-01-06T10:56:17+09:00,뚫려따아
유유송,2025-01-06T10:56:07+09:00,60선 한번만~~~~~부탁한다.
상추꿀꺽,2025-01-06T10:56:02+09:00,야르야르
골든해,2025-01-06T10:56:01+09:00,59000원갈듯 오늘
천호반,2025-01-06T10:55:28+09:00,물타기 존버 키야 또올게
떡락풉,2025-01-06T10:55:23+09:00,8만전자 가즈아
주린이정현,2025-01-06T10:55:23+09:00,5프로만 찍어보자
재용삼성,2025-01-06T10:54:57+09:00,오늘 샘숭 일 좀 하네
마틴이네,2025-01-06T10:54:37+09:00,56선 일단 뚫나요?
주렸다요,2025-01-06T10:54:15+09:00,하.. 힘내 삼성
ShareHoldings,2025-01-06T10:53:48+09:00,왜 오르죠??
아르네슬롯,2025-01-06T10:53:01+09:00,뒤에 다 기다립니다
밥줘미,2025-01-06T10:52:21+09:00,다음은58000 ㅎ
구부랑길고양이,2025-01-06T10:51:32+09:00,"큰 욕심 없음
그냥 6만원으로 본전만 좀 하자."
롱롱바,2025-01-06T10:48:05+09:00,"아 올 해두 8층 까지 올 라 올수 없겠죠
아 돌겠당 살려 달라구"
존버하는거야,2025-01-06T10:47:57+09:00,평단오려면 한세월 걸리겠네 ㅜㅜ
아오씡,2025-01-06T10:46:37+09:00,오늘 57000원은 가야지..
보수적으로,2025-01-06T10:45:32+09:00,이거 레버리지상품있나여
한장군2,2025-01-06T10:45:20+09:00,30%올라갈수있나요?
우랭치,2025-01-06T10:45:07+09:00,ㅎ
Ella를위해,2025-01-06T10:45:05+09:00,삼성 힘들다 ~~
Youngest,2025-01-06T10:44:24+09:00,한손기락 채팅 힘드네 열손가락이 편한데
주니모,2025-01-06T10:43:13+09:00,많이 버텼다.
예금보단주식이옳게된세상,2025-01-06T10:43:12+09:00,오 힘을 내…
Youngest,2025-01-06T10:42:29+09:00,원화가지고 뭐할라고 그리 빌악히는지... 탈출 하고싶나?
멓렁이,2025-01-06T10:42:21+09:00,제발 6만원 !!!!!!!
사놓은거오를까,2025-01-06T10:42:18+09:00,근데 주식은 미래가치에 영향받는다고아는데 과연?
아무거나규탄한다이것저것보장하,2025-01-06T10:41:45+09:00,판매대기가 더높다니 감동ㅋㅋ
비밀창고,2025-01-06T10:41:09+09:00,많이기달. 오르자
Youngest,2025-01-06T10:41:02+09:00,탈출히고싶은듯... 탈출이 그리 쉽나? ㅋ
아크마호,2025-01-06T10:40:28+09:00,먼일이냐 외쿡놈들이 몇달만에 들어오는겨
뿌우웅꺽,2025-01-06T10:39:54+09:00,ㅌㅌㅌ
하락왕,2025-01-06T10:39:52+09:00,좀가자 제브알
영육축복,2025-01-06T10:38:30+09:00,기관넘들 도움이 안되 ㅉㅉ
나를보면상폐,2025-01-06T10:37:19+09:00,그냥 매수해놓고 가만있음 안되냐
위기모면,2025-01-06T10:35:27+09:00,경험상 기회줄때 탈출이맞는데 또 쳐내려갈텐데
삼전우천주주,2025-01-06T10:35:21+09:00,몇년을 기다려도 평단이네 예금 넣겠다 삼전아 잘가라
더도말고백억만벌자,2025-01-06T10:35:02+09:00,애프킬라 뿌려버리니 전멸했네
하힝히,2025-01-06T10:34:55+09:00,제발 6만와라 탈출하고싶다
선형대수권위자,2025-01-06T10:34:45+09:00,껄껄
수달녀니,2025-01-06T10:33:14+09:00,"갓석열 정권 담백한 팩트 한접시)

https://n.news.naver.com/article/003/0012992485?sid=101

https://n.news.naver.com/article/658/0000093351?sid=101



민주당은?
""국회 방산수출 검열하겠다""
""반도체법 반대""
""기본 임금 보장, 월세 1만원 보장(개돼지들 좋아하는 포퓰리즘 정책)"""
주식첨이에요,2025-01-06T10:33:13+09:00,국장 복귀는 지능순
한노동,2025-01-06T10:31:58+09:00,얼마까지 오를까요
뷁슬라이딩,2025-01-06T10:31:42+09:00,왜오르지?
상한가여왕,2025-01-06T10:31:28+09:00,쭉쭉가주앙
진또백이,2025-01-06T10:31:00+09:00,그러취 ~~~~~ 이젠 오르는거야
가쥬왕88,2025-01-06T10:30:45+09:00,불기둥둥
주식하는진박새,2025-01-06T10:29:56+09:00,저점 잘 잡았네 내가
보름낮달,2025-01-06T10:29:32+09:00,주식 시작하고 삼전올라가는거 처음봄 신기하다
플뤡스,2025-01-06T10:28:05+09:00,여응차
플뤡스,2025-01-06T10:27:54+09:00,챙챙한기싸움
미장은바겐세일낙폭과대주,2025-01-06T10:26:44+09:00,매일6주 매수해서 현재 250주 아직 1750주 더 매수해야함... 삼전 바겐세일이라 너무 편안하다...
